course_code,language,country_code,website,course_name,course_link,result_blog_dict,results_product_dict,inspiration_blog_dict,course_document_path
AT,English,en,en.scholistico,Art Therapy,https://scholistico.com/product/art-therapy-practitioner-training-course/,"{
  ""9-art-therapy-exercises-to-reduce-anxiety"": ""https://scholistico.com/9-art-therapy-exercises-to...","{
  ""art-therapy-practitioner-training-course"": ""https://scholistico.com/product/art-therapy-practit...","{
  ""9-art-therapy-exercises-to-reduce-anxiety"": ""https://scholistico.com/9-art-therapy-exercises-to...",courses/AT
AT,Dutch,nl,nl.scholistico,Art Therapy,https://nl.scholistico.com/product/kunstzinnige-therapie-opleiding/,"{
  ""kunstzinnige-therapie-oefeningen-voor-autisme"": ""https://nl.scholistico.com/kunstzinnige-therap...","{
  ""kunstzinnige-therapie-opleiding"": ""https://nl.scholistico.com/product/kunstzinnige-therapie-opl...","{
  ""kunstzinnige-therapie-oefeningen-voor-autisme"": ""https://nl.scholistico.com/kunstzinnige-therap...",courses/AT
AT,Italian,it,it.scholistico,Art Therapy,https://it.scholistico.com/prodotto/corso-di-formazione-in-arteterapia/,"{
  ""5-benefici-dellarteterapia-per-gli-adulti"": ""https://it.scholistico.com/5-benefici-dellartetera...","{
  ""corso-di-formazione-in-arteterapia"": ""https://it.scholistico.com/prodotto/corso-di-formazione-i...","{
  ""5-benefici-dellarteterapia-per-gli-adulti"": ""https://it.scholistico.com/5-benefici-dellartetera...",courses/AT
AT,German,de,de.scholistico,Art Therapy,https://de.scholistico.com/produkt/ausbildung-in-kunsttherapie/,"{
  ""7-kunsttherapieuebungen-fuer-menschen-mit-behinderungen"": ""https://de.scholistico.com/7-kunstth...","{
  ""ausbildung-in-kunsttherapie"": ""https://de.scholistico.com/produkt/ausbildung-in-kunsttherapie/""...","{
  ""7-kunsttherapieuebungen-fuer-menschen-mit-behinderungen"": ""https://de.scholistico.com/7-kunstth...",courses/AT
AT,Spanish,es,es.scholistico,Art Therapy,https://es.scholistico.com/producto/curso-certificacion-practicante-arteterapia/,"{
  ""actividades-arteterapia-para-ansiedad"": ""https://es.scholistico.com/actividades-arteterapia-par...","{
  ""curso-certificacion-practicante-arteterapia"": ""https://es.scholistico.com/producto/curso-certif...","{
  ""actividades-arteterapia-para-ansiedad"": ""https://es.scholistico.com/actividades-arteterapia-par...",courses/AT
NAT,English,en,en.scholistico,Naturopathy,https://scholistico.com/product/naturopathy-practitioner-training-course/,"{
  ""8-herbal-remedies-for-dry-skin"": ""https://scholistico.com/8-herbal-remedies-for-dry-skin/"",
  ""...","{
  ""naturopathy-practitioner-training-course"": ""https://scholistico.com/product/naturopathy-practit...","{
  ""8-herbal-remedies-for-dry-skin"": ""https://scholistico.com/8-herbal-remedies-for-dry-skin/"",
  ""...",courses/NAT
NAT,Dutch,nl,nl.scholistico,Naturopathy,https://nl.scholistico.com/product/natuurgeneeskunde-opleiding-online/,"{
  ""4-natuurlijke-huismiddeltjes"": ""https://nl.scholistico.com/4-natuurlijke-huismiddeltjes/"",
  ""n...","{
  ""natuurgeneeskunde-opleiding-online"": ""https://nl.scholistico.com/product/natuurgeneeskunde-ople...","{
  ""4-natuurlijke-huismiddeltjes"": ""https://nl.scholistico.com/4-natuurlijke-huismiddeltjes/"",
  ""n...",courses/NAT
NAT,Italian,it,it.scholistico,Naturopathy,https://it.scholistico.com/prodotto/corso-di-formazione-per-operatori-di-naturopatia/,"{
  ""naturopatia-principi-pratiche-e-benefici-della-guarigione-naturale"": ""https://it.scholistico.co...","{
  ""corso-di-formazione-per-operatori-di-naturopatia"": ""https://it.scholistico.com/prodotto/corso-d...","{
  ""naturopatia-principi-pratiche-e-benefici-della-guarigione-naturale"": ""https://it.scholistico.co...",courses/NAT
NAT,German,de,de.scholistico,Naturopathy,https://de.scholistico.com/produkt/ausbildung-zum-naturheilpraktiker/,"{
  ""naturheilpraktiker-7-gruende-warum-jetzt-der-perfekte-zeitpunkt-ist-um-einer-zu-werden"": ""https...","{
  ""ausbildung-zum-naturheilpraktiker"": ""https://de.scholistico.com/produkt/ausbildung-zum-naturhei...","{
  ""naturheilpraktiker-7-gruende-warum-jetzt-der-perfekte-zeitpunkt-ist-um-einer-zu-werden"": ""https...",courses/NAT
NAT,Spanish,es,es.scholistico,Naturopathy,https://es.scholistico.com/producto/curso-certificacion-practicante-naturopatia/,"{
  ""guia-naturopatia-principiantes"": ""https://es.scholistico.com/guia-naturopatia-principiantes/"",
...","{
  ""curso-certificacion-practicante-naturopatia"": ""https://es.scholistico.com/producto/curso-certif...","{
  ""guia-naturopatia-principiantes"": ""https://es.scholistico.com/guia-naturopatia-principiantes/"",
...",courses/NAT
