course_code,language,country_code,website,course_name,course_document_path,course_link,result_blog_dict,results_product_dict,inspiration_blog_dict
AT,Dutch,nl,nl.scholistico,Art Therapy Practitioner,courses/AT,,"{'kunstzinnige-therapie-oefeningen-voor-autisme': 'https://nl.scholistico.com/kunstzinnige-therapie-oefeningen-voor-autisme/', 'kunstzinnige-therapie-voor-senioren': 'https://nl.scholistico.com/kunstzinnige-therapie-voor-senioren/', 'kunstzinnige-therapie-activiteiten-voor-tieners': 'https://nl.scholistico.com/kunstzinnige-therapie-activiteiten-voor-tieners/', 'kunstzinnige-therapie-bij-depressie': 'https://nl.scholistico.com/kunstzinnige-therapie-bij-depressie/', 'kunstzinnige-therapie-voor-volwassenen': 'https://nl.scholistico.com/kunstzinnige-therapie-voor-volwassenen/', 'kunstzinnige-therapie-oefeningen-voor-kinderen': 'https://nl.scholistico.com/kunstzinnige-therapie-oefeningen-voor-kinderen/', 'leer-kunstzinnige-therapie-online': 'https://nl.scholistico.com/leer-kunstzinnige-therapie-online/', 'kleur-therapie': 'https://nl.scholistico.com/kleur-therapie/', 'tarieven-bepalen-voor-niet-klinische-kunstzinnige-therapiediensten': 'https://nl.scholistico.com/tarieven-bepalen-voor-niet-klinische-kunstzinnige-therapiediensten/', 'kunst-en-geestelijke-gezondheid': 'https://nl.scholistico.com/kunst-en-geestelijke-gezondheid/', 'therapeutische-kunst': 'https://nl.scholistico.com/therapeutische-kunst/', 'kunsztinnige-activiteiten-bij-depressie': 'https://nl.scholistico.com/kunsztinnige-activiteiten-bij-depressie/', 'certificering-en-licenties-voor-kunstzinnige-therapie': 'https://nl.scholistico.com/certificering-en-licenties-voor-kunstzinnige-therapie/', 'creatieve-helingstechnieken': 'https://nl.scholistico.com/creatieve-helingstechnieken/', 'de-kracht-van-kunstzinnige-therapie': 'https://nl.scholistico.com/de-kracht-van-kunstzinnige-therapie/', 'niet-klinische-kunstzinnige-therapie': 'https://nl.scholistico.com/niet-klinische-kunstzinnige-therapie/', '8-kunstzinnige-therapie-activiteiten': 'https://nl.scholistico.com/8-kunstzinnige-therapie-activiteiten/', '5-technieken-kunstzinnige-therapie': 'https://nl.scholistico.com/5-technieken-kunstzinnige-therapie/', 'kunstzinnige-therapie-voor-tieners': 'https://nl.scholistico.com/kunstzinnige-therapie-voor-tieners/', 'voordelen-kleuren-voor-volwassenen-stress': 'https://nl.scholistico.com/voordelen-kleuren-voor-volwassenen-stress/', 'ontlaad-je-emoties-op-gezonde-wijze-gebruik-kunst': 'https://nl.scholistico.com/ontlaad-je-emoties-op-gezonde-wijze-gebruik-kunst/', 'kunstzinnige-therapie-kinderen-2': 'https://nl.scholistico.com/kunstzinnige-therapie-kinderen-2/', 'wat-is-kunstzinnige-therapie-en-hoe-werkt-het-2': 'https://nl.scholistico.com/wat-is-kunstzinnige-therapie-en-hoe-werkt-het-2/', 'manieren-kunstzinnige-therapie-gebruiken-2': 'https://nl.scholistico.com/manieren-kunstzinnige-therapie-gebruiken-2/', 'hoe-je-gevoelens-te-tekenen-emoties-schilderen-2': 'https://nl.scholistico.com/hoe-je-gevoelens-te-tekenen-emoties-schilderen-2/', 'plezier-en-empowerment-door-kunstzinnige-therapie-2': 'https://nl.scholistico.com/plezier-en-empowerment-door-kunstzinnige-therapie-2/', 'kunstzinnige-therapie-beste-kinderen-halen-2': 'https://nl.scholistico.com/kunstzinnige-therapie-beste-kinderen-halen-2/', 'manieren-kunstzinnige-therapie-gebruiken': 'https://nl.scholistico.com/manieren-kunstzinnige-therapie-gebruiken/', 'wat-is-kunstzinnige-therapie-en-hoe-werkt-het': 'https://nl.scholistico.com/wat-is-kunstzinnige-therapie-en-hoe-werkt-het/', 'hoe-je-gevoelens-te-tekenen-emoties-schilderen': 'https://nl.scholistico.com/hoe-je-gevoelens-te-tekenen-emoties-schilderen/', 'plezier-en-empowerment-door-kunstzinnige-therapie': 'https://nl.scholistico.com/plezier-en-empowerment-door-kunstzinnige-therapie/', 'kunstzinnige-therapie-beste-kinderen-halen': 'https://nl.scholistico.com/kunstzinnige-therapie-beste-kinderen-halen/', 'kunstzinnige-therapie-kinderen': 'https://nl.scholistico.com/kunstzinnige-therapie-kinderen/'}",{},"{'kunstzinnige-therapie-oefeningen-voor-autisme': 'https://nl.scholistico.com/kunstzinnige-therapie-oefeningen-voor-autisme/', 'kunstzinnige-therapie-voor-senioren': 'https://nl.scholistico.com/kunstzinnige-therapie-voor-senioren/', 'kunstzinnige-therapie-activiteiten-voor-tieners': 'https://nl.scholistico.com/kunstzinnige-therapie-activiteiten-voor-tieners/', 'kunstzinnige-therapie-bij-depressie': 'https://nl.scholistico.com/kunstzinnige-therapie-bij-depressie/', 'kunstzinnige-therapie-voor-volwassenen': 'https://nl.scholistico.com/kunstzinnige-therapie-voor-volwassenen/', 'kunstzinnige-therapie-oefeningen-voor-kinderen': 'https://nl.scholistico.com/kunstzinnige-therapie-oefeningen-voor-kinderen/', 'leer-kunstzinnige-therapie-online': 'https://nl.scholistico.com/leer-kunstzinnige-therapie-online/', 'kleur-therapie': 'https://nl.scholistico.com/kleur-therapie/', 'tarieven-bepalen-voor-niet-klinische-kunstzinnige-therapiediensten': 'https://nl.scholistico.com/tarieven-bepalen-voor-niet-klinische-kunstzinnige-therapiediensten/', 'kunst-en-geestelijke-gezondheid': 'https://nl.scholistico.com/kunst-en-geestelijke-gezondheid/', 'therapeutische-kunst': 'https://nl.scholistico.com/therapeutische-kunst/', 'kunsztinnige-activiteiten-bij-depressie': 'https://nl.scholistico.com/kunsztinnige-activiteiten-bij-depressie/', 'certificering-en-licenties-voor-kunstzinnige-therapie': 'https://nl.scholistico.com/certificering-en-licenties-voor-kunstzinnige-therapie/', 'creatieve-helingstechnieken': 'https://nl.scholistico.com/creatieve-helingstechnieken/', 'de-kracht-van-kunstzinnige-therapie': 'https://nl.scholistico.com/de-kracht-van-kunstzinnige-therapie/', 'niet-klinische-kunstzinnige-therapie': 'https://nl.scholistico.com/niet-klinische-kunstzinnige-therapie/', '8-kunstzinnige-therapie-activiteiten': 'https://nl.scholistico.com/8-kunstzinnige-therapie-activiteiten/', '5-technieken-kunstzinnige-therapie': 'https://nl.scholistico.com/5-technieken-kunstzinnige-therapie/', 'kunstzinnige-therapie-voor-tieners': 'https://nl.scholistico.com/kunstzinnige-therapie-voor-tieners/', 'voordelen-kleuren-voor-volwassenen-stress': 'https://nl.scholistico.com/voordelen-kleuren-voor-volwassenen-stress/', 'ontlaad-je-emoties-op-gezonde-wijze-gebruik-kunst': 'https://nl.scholistico.com/ontlaad-je-emoties-op-gezonde-wijze-gebruik-kunst/', 'kunstzinnige-therapie-kinderen-2': 'https://nl.scholistico.com/kunstzinnige-therapie-kinderen-2/', 'wat-is-kunstzinnige-therapie-en-hoe-werkt-het-2': 'https://nl.scholistico.com/wat-is-kunstzinnige-therapie-en-hoe-werkt-het-2/', 'manieren-kunstzinnige-therapie-gebruiken-2': 'https://nl.scholistico.com/manieren-kunstzinnige-therapie-gebruiken-2/', 'hoe-je-gevoelens-te-tekenen-emoties-schilderen-2': 'https://nl.scholistico.com/hoe-je-gevoelens-te-tekenen-emoties-schilderen-2/', 'plezier-en-empowerment-door-kunstzinnige-therapie-2': 'https://nl.scholistico.com/plezier-en-empowerment-door-kunstzinnige-therapie-2/', 'kunstzinnige-therapie-beste-kinderen-halen-2': 'https://nl.scholistico.com/kunstzinnige-therapie-beste-kinderen-halen-2/', 'manieren-kunstzinnige-therapie-gebruiken': 'https://nl.scholistico.com/manieren-kunstzinnige-therapie-gebruiken/', 'wat-is-kunstzinnige-therapie-en-hoe-werkt-het': 'https://nl.scholistico.com/wat-is-kunstzinnige-therapie-en-hoe-werkt-het/', 'hoe-je-gevoelens-te-tekenen-emoties-schilderen': 'https://nl.scholistico.com/hoe-je-gevoelens-te-tekenen-emoties-schilderen/', 'plezier-en-empowerment-door-kunstzinnige-therapie': 'https://nl.scholistico.com/plezier-en-empowerment-door-kunstzinnige-therapie/', 'kunstzinnige-therapie-beste-kinderen-halen': 'https://nl.scholistico.com/kunstzinnige-therapie-beste-kinderen-halen/', 'kunstzinnige-therapie-kinderen': 'https://nl.scholistico.com/kunstzinnige-therapie-kinderen/'}"
AT,English,en,en.scholistico,Art Therapy Practitioner,courses/AT,https://scholistico.com/product/art-therapy-practitioner-training-course/,{},"{'art-therapy-practitioner-training-course': 'https://scholistico.com/product/art-therapy-practitioner-training-course/', 'art-special-offer-product': 'https://scholistico.com/product/art-special-offer-product/', 'art-therapy-practitioner-certification-course': 'https://scholistico.com/product/art-therapy-practitioner-certification-course/', 'introduction-to-art-therapy': 'https://scholistico.com/product/introduction-to-art-therapy/', '50-art-therapy-exercises-for-children-adults-and-seniors': 'https://scholistico.com/product/50-art-therapy-exercises-for-children-adults-and-seniors/', 'making-a-living-in-art': 'https://scholistico.com/product/making-a-living-in-art/'}",{}
AT,German,de,de.scholistico,Art Therapy Practitioner,courses/AT,https://de.scholistico.com/produkt/ausbildung-in-kunsttherapie/,{},"{'ausbildung-in-kunsttherapie': 'https://de.scholistico.com/produkt/ausbildung-in-kunsttherapie/', 'offizielles-zertifikat-fuer-die-ausbildung-zur-kunsttherapiepraktikerin': 'https://de.scholistico.com/produkt/offizielles-zertifikat-fuer-die-ausbildung-zur-kunsttherapiepraktikerin/', 'ueber-50-kunsttherapieuebungen-fuer-kinder-erwachsene-und-senioren': 'https://de.scholistico.com/produkt/ueber-50-kunsttherapieuebungen-fuer-kinder-erwachsene-und-senioren/', 'von-der-kunst-leben': 'https://de.scholistico.com/produkt/von-der-kunst-leben/'}",{}
AT,Italian,it,it.scholistico,Art Therapy Practitioner,courses/AT,https://it.scholistico.com/prodotto/corso-di-formazione-in-arteterapia/,{},"{'corso-di-formazione-in-arteterapia': 'https://it.scholistico.com/prodotto/corso-di-formazione-in-arteterapia/', 'oltre-50-esercizi-di-arteterapia-per-bambini-adulti-e-anziani': 'https://it.scholistico.com/prodotto/oltre-50-esercizi-di-arteterapia-per-bambini-adulti-e-anziani/', 'guadagnare-attraverso-larte': 'https://it.scholistico.com/prodotto/guadagnare-attraverso-larte/'}",{}
AT,Spanish,es,es.scholistico,Art Therapy Practitioner,courses/AT,https://es.scholistico.com/producto/curso-certificacion-practicante-arteterapia/,{},"{'curso-certificacion-practicante-arteterapia': 'https://es.scholistico.com/producto/curso-certificacion-practicante-arteterapia/', 'ganarse-la-vida-a-traves-del-arte': 'https://es.scholistico.com/producto/ganarse-la-vida-a-traves-del-arte/', '50-ejercicios-arteterapia-para-ninos-adultos-adultos-mayores': 'https://es.scholistico.com/producto/50-ejercicios-arteterapia-para-ninos-adultos-adultos-mayores/'}",{}
HHP,Dutch,nl,nl.scholistico,Holistic Health Practioner,courses/HHP,,"{'holistische-gezondheidscertificering': 'https://nl.scholistico.com/holistische-gezondheidscertificering/', 'tips-en-trucs-voor-betere-telepathie': 'https://nl.scholistico.com/tips-en-trucs-voor-betere-telepathie/', '8-wellness-beroepen-voor-carriereswitch': 'https://nl.scholistico.com/8-wellness-beroepen-voor-carriereswitch/', 'waarom-de-keuze-voor-een-geaccrediteerde-online-cursus-voor-holistische-practitioners': 'https://nl.scholistico.com/waarom-de-keuze-voor-een-geaccrediteerde-online-cursus-voor-holistische-practitioners/', 'top-10-manieren-om-stress-te-verminderen-2': 'https://nl.scholistico.com/top-10-manieren-om-stress-te-verminderen-2/', 'overweeg-je-een-carriere-in-de-natuurlijke-gezondheidszorg-2': 'https://nl.scholistico.com/overweeg-je-een-carriere-in-de-natuurlijke-gezondheidszorg-2/'}",{},"{'holistische-gezondheidscertificering': 'https://nl.scholistico.com/holistische-gezondheidscertificering/', 'tips-en-trucs-voor-betere-telepathie': 'https://nl.scholistico.com/tips-en-trucs-voor-betere-telepathie/', '8-wellness-beroepen-voor-carriereswitch': 'https://nl.scholistico.com/8-wellness-beroepen-voor-carriereswitch/', 'waarom-de-keuze-voor-een-geaccrediteerde-online-cursus-voor-holistische-practitioners': 'https://nl.scholistico.com/waarom-de-keuze-voor-een-geaccrediteerde-online-cursus-voor-holistische-practitioners/', 'top-10-manieren-om-stress-te-verminderen-2': 'https://nl.scholistico.com/top-10-manieren-om-stress-te-verminderen-2/', 'overweeg-je-een-carriere-in-de-natuurlijke-gezondheidszorg-2': 'https://nl.scholistico.com/overweeg-je-een-carriere-in-de-natuurlijke-gezondheidszorg-2/'}"
HHP,English,en,en.scholistico,Holistic Health Practioner,courses/HHP,https://scholistico.com/product/holistic-health-practitioner-online-training-course/,{},"{'holistic-health-practitioner-online-training-course': 'https://scholistico.com/product/holistic-health-practitioner-online-training-course/', 'making-a-living-in-natural-health': 'https://scholistico.com/product/making-a-living-in-natural-health/', 'introduction-to-holistic-health': 'https://scholistico.com/product/introduction-to-holistic-health/'}",{}
HHP,German,de,de.scholistico,Holistic Health Practioner,courses/HHP,https://de.scholistico.com/produkt/ausbildung-zum-ganzheitlichen-gesundheitspraktiker/,{'von-natuerlicher-gesundheit-leben': 'https://de.scholistico.com/produkt/von-natuerlicher-gesundheit-leben/'},"{'ausbildung-zum-ganzheitlichen-gesundheitspraktiker': 'https://de.scholistico.com/produkt/ausbildung-zum-ganzheitlichen-gesundheitspraktiker/', 'offizielles-zertifikat-fuer-ganzheitliche-gesundheitspraktiker': 'https://de.scholistico.com/produkt/offizielles-zertifikat-fuer-ganzheitliche-gesundheitspraktiker/', 'von-natuerlicher-gesundheit-leben': 'https://de.scholistico.com/produkt/von-natuerlicher-gesundheit-leben/'}",{'von-natuerlicher-gesundheit-leben': 'https://de.scholistico.com/produkt/von-natuerlicher-gesundheit-leben/'}
HHP,Italian,it,it.scholistico,Holistic Health Practioner,courses/HHP,https://it.scholistico.com/prodotto/certificazione-in-operatore-sanitario-olistico/,{},{'certificazione-in-operatore-sanitario-olistico': 'https://it.scholistico.com/prodotto/certificazione-in-operatore-sanitario-olistico/'},{}
HHP,Spanish,es,es.scholistico,Holistic Health Practioner,courses/HHP,https://es.scholistico.com/producto/curso-de-certificacion-practicante-de-salud-holistica/,{},"{'curso-de-certificacion-practicante-de-salud-holistica': 'https://es.scholistico.com/producto/curso-de-certificacion-practicante-de-salud-holistica/', 'certificado-oficial-del-curso-de-formacion-para-practicante-de-la-salud-holistica': 'https://es.scholistico.com/producto/certificado-oficial-del-curso-de-formacion-para-practicante-de-la-salud-holistica/', 'ganarse-la-vida-a-traves-de-la-salud-natural': 'https://es.scholistico.com/producto/ganarse-la-vida-a-traves-de-la-salud-natural/'}",{}
